Functional Module,Primary Symptom,Secondary Symptom,Solution,Related Error Code,Query Page,Applicable Models,If not solved,Level,父记录
Mapping,Mapping Issue,Auto Mapping Failed,"1. Check that the charging station is installed with no obstructions within 1.5m in the front/left/right directions.
2. Check whether the on-site environment is complex.
3. Recommend trying to manually create a map.","1223 Unclear boundary
1188 Recorded data processing error
1315 Positioning lost",,"yuka mini2, yuka mini Vision, yuka mini LiDAR",Needs FAE Upgrade,,
Mapping,Mapping Issue,Manual Mapping Failed,"1. When manually driving the mower, try to avoid excessive speed / frequent turns / U-turns / reversing.","1223 Unclear boundary
1188 Recorded data processing error
1315 Positioning lost",,"yuka mini2, yuka mini Vision, yuka mini LiDAR",Needs FAE Upgrade,,
Mapping,Mapping Issue,Failed to Create Isolated Island Zone,"1. Confirm whether the firmware has been updated to the latest version.
2. Guide the user to keep the mower level when carrying it / keep the front facing forward / do not block the vision module / do not move too fast / keep the path distance within 200m.
3. If the path distance cannot be kept within 200m, consider using the dropmow mode for the corresponding scenario.",1188 Data processing error,,"yuka mini2, yuka mini Vision, yuka mini LiDAR",Needs FAE Upgrade,,
Mapping,Mapping Issue,Map Recording Failed / Map Storage Abnormal,/,"1188 Map recording failed
1199 Map storage abnormal",,,Needs FAE Upgrade,,
Positioning,Positioning Issue,"Poor Positioning, Environmental Issue","1. Check whether the RTK base station is properly powered on; if the RTK base station is abnormal, try to send a replacement.
2. Determine the user's region. For users in Europe / the UK, consider upgrading the firmware and manually upgrading the RTK.","1300 Poor positioning status
1303/1304","1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba1, luba2, luba mini, luba mini LiDAR",Needs FAE Upgrade,,
Positioning,Positioning Issue,Positioning Calibration Failed,"1. Check whether the error only occurs near the boundary.
2. Manually drive the mower away from the boundary to an open working area.
3. Check whether there are any other errors in the app.","1300 Poor positioning status
1314 Poor positioning accuracy","1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba1, luba mini, luba mini LiDAR",Needs FAE Upgrade,,
Positioning,Positioning Issue,App Vehicle Position Offset,1. Check whether the app and the firmware are the latest versions.,,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Positioning,Positioning Issue,Positioning Error / Station Position Offset / POS Not Good,"1. Confirm whether the RTK base station is bound.
2. Confirm whether the firmware is the latest version, and whether the RTK is properly powered on.
3. Check that the link mode of the mower and the RTK are consistent.
4. Ensure that the RTK LoRa number in the app matches the one on the RTK body label.
5. If the above checks pass but the issue persists, replace the RTK.",,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",luba2,Needs FAE Upgrade,,
Positioning,Docking Issue,Cannot Exit Station to Auto-Work,"1. Check whether the charging station is located in an open area.
2. Check whether the RTK base station is properly powered on; if not, replace the base station and re-test.",,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba1, luba2",Needs Repair,,
Positioning,Docking Issue,App Shows Device Not in Work Zone but Actually Charging,"1. Check the surroundings of the charging station's location for any obstructions such as trees / walls / buildings; it should be installed in an open area.
2. Verify the applicable positioning mode. If it is RTK, check whether the RTK base station installation position has any obstructions.",,,"luba mini, luba mini LiDAR",Needs FAE Upgrade,,
Positioning,Docking Issue,Stops in Front of Station After Exiting,"1. Check the surroundings of the charging station's location for any obstructions such as trees / walls / buildings; it should be installed in an open area.
2. Verify the applicable positioning mode. If it is RTK, check whether the RTK base station installation position has any obstructions.",1105 Mower stops in front of the dock after leaving it,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba mini, luba mini LiDAR",Needs FAE Upgrade,,
Positioning,RTK,RTK Base Station Disconnected,"1. Verify that the positioning modes of the robot and the RTK base station are consistent.
2. Verify that the LoRa numbers of the robot and the RTK are consistent; if they differ, change them to be consistent.
3. Verify that both the robot and the RTK have a satellite count. If the robot's satellite count is 0, try restarting the device multiple times. If the RTK base station's satellite count is 0, check the RTK base station indicator status.
4. If the RTK base station indicator is abnormal, check the power cable interface on the back of the charging station. If the interface is normal, replace the RTK adapter; if the interface is faulty, perform a defective product return.",1551 RTK disconnection alarm,,,Needs Repair,,
Positioning,RTK,RTK Indicator Light Abnormal,"1. Check whether the indicator is off only at night. After the upgrade, this is normal.
2. If the indicator is also off during the daytime, try other power supply options (charging station / RTK adapter).
3. If the RTK adapter power supply works normally, check whether the interface on the charging station that connects to the base station is damaged.
4. If the charging station power supply works normally, send a replacement RTK adapter.
5. If neither option works normally, send a replacement RTK.",,,"luba1, luba2, luba3, luba2x",Needs Repair,,
Positioning,RTK,RTK Solid Red / Flashing Red Light,"1. Check whether the RTK works normally after being powered on again.
2. If the issue persists, send a replacement base station.",,,"luba1, luba2",Needs Repair,,
Positioning,RTK,"RTK Light Off, No Satellite Signal, Needs Restart",1. Check whether both the mower and the RTK firmware are the latest versions.,,,luba2,Needs Repair,,
Positioning,RTK,Cannot Connect After RTK-LoRa Mode Switch,"1. Check whether the RTK can be added manually; if it is not bound, add it again.
2. Check that the link mode of the mower and the RTK are consistent; they need to be set to the same mode.",,,luba2,Needs Repair,,
Positioning,RTK,App Cannot Connect to RTK / RTK Cannot Connect to WiFi,"1. Check whether the Wi-Fi is a 2.4GHz or 2.4/5GHz network/hotspot. If not, switch to one of these bands.
2. Check whether the Wi-Fi router has encryption-level restrictions or insufficient IP address pool.",,,"luba2, luba3, luba2x",Needs Repair,,
Positioning,RTK,App Cannot Connect to RTK / Bluetooth Connection Failed,"1. Check the RTK indicator and troubleshoot any Wi-Fi / Bluetooth / 4G issues.
2. You can try connecting to the RTK via Bluetooth from another phone. Android phones can use the built-in Bluetooth search function; iPhones can use a BLE scanner or another Bluetooth-scanning app to scan.",,,"luba3, luba2x",Needs Repair,,
Positioning,RTK Adapter,RTK Power Adapter Indicator Light Abnormal,"1. Confirm that the power socket is supplying power normally.
2. Cross-verify: the RTK base station supports power supply from the RTK adapter and from the charging station's power port.
3. Confirm the indicator status.",,,"luba3, luba2x",Needs Repair,,
Positioning,RTK Adapter,RTK Power Adapter Voltage Abnormal,1. Check / test that the voltage of the RTK power adapter is approximately the normal 12V.,,,"luba3, luba2x",Needs Repair,,
Positioning,iNavi,Positioning No Response,"1. Check whether the firmware is the latest version; if not, it needs to be updated.",1000020 No response from positioning,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba3, luba2x",Needs FAE Upgrade,,
Positioning,iNavi,Positioning Failed,"1. Confirm whether the error is reported when mapping outside the zone; mapping can only be started inside the zone or on the charging station.
2. The firmware needs to be upgraded to the latest version.",1000019 Positioning failed,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba3, luba2x",Needs FAE Upgrade,,
Positioning,iNavi,Vehicle Lost Positioning in Narrow Path/Zone,"1. Check whether the firmware is the latest version; if not, it needs to be updated.","1314 Poor positioning accuracy
1300 Obstruction in working environment","1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba3, luba2x",Needs FAE Upgrade,,
Positioning,iNavi,iNavi Positioning Signal Weak,"1. Confirm whether the iNavi connection mode is Wi-Fi or 4G (both can be used at the same time, but iNavi takes priority).
2. Cross-verify by switching between the two.","1314 Poor positioning accuracy
1554 Unstable Wi-Fi network
1556 Unstable 4G network","1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba3, luba2x",Needs FAE Upgrade,,
Positioning,iNavi,Positioning Timeout / Map Distorted / No Response,"1. Check whether the firmware is the latest version; if not, it needs to be updated.",1418 Positioning timeout,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba3, luba2x",Needs FAE Upgrade,,
Positioning,iNavi,Satellite Map Offset,"1. Check whether the firmware is the latest version; if not, it needs to be updated.",,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba3, luba2x",Needs FAE Upgrade,,
Positioning,iNavi,iNavi Network Unstable / 4G or WiFi Connection Abnormal,"1. Check the Wi-Fi and 4G network. If the signal is poor, try connecting to another network or use the phone's hotspot.","1554 Network error
1556 iNavi network connection abnormal","1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba3, luba2x",Needs FAE Upgrade,,
Positioning,iNavi,POS Status Single,"1. Check whether the app and the firmware are the latest versions.
2. Check the network signal. Consider switching to 4G or another Wi-Fi network, then try restarting the device and re-connecting to iNavi.
3. If the issue is not network-related, switch the link mode to another option, then switch back to iNavi, and restart the device.",,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba3, luba2x",Needs FAE Upgrade,,
Positioning,Positioning Issue,Map Distorted / Offset / Path Missing / Station Position Offset,1. Provide photos of the charging station's location and the surrounding environment.,1300/1000019,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Positioning,Positioning Issue,Positioning No Response,"1. Provide photos of the on-site and surrounding environment.
2. Provide a screenshot of the error in the app.
3. Update the firmware and the app to the latest versions.
4. Try restarting the device. If restarting does not resolve the issue, delete the map and re-draw it, or restore factory settings (and remind the user that this requires re-binding and reconfiguring the device).",1000020 No response from positioning,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Positioning,Positioning Issue,Positioning Lost / Map Drawing Failed,"1. Collect the camera status, on-site environment, app error, firmware version, and restart information for troubleshooting.
2. Check whether the protective film on the lens was forgotten to be removed.",1315 Mapping failed due to positioning loss,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Positioning,Positioning Issue,Charging Station Position Change Detected,"1. Check the on-site environment and the app error, and confirm whether any obstacles or objects near the charging station have been moved.
2. If any object has been moved, re-position the charging station.",1132 Charging station position change detected,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Positioning,Positioning Issue,Positioning Timeout / Map Distorted / No Response,"1. Provide photos of the on-site and surrounding environment.
2. Provide a screenshot of the error in the app.
3. Update the firmware and the app to the latest versions.
4. Try restarting the device. If restarting does not resolve the issue, delete the map and re-draw it, or restore factory settings (and remind the user that this requires re-binding and reconfiguring the device).",1418 Positioning timeout,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Navigation & Motion Control,Cross-Zone Recharge Issue,Path Blocked / Work Stuck,"1. Check whether the path at the stuck location is too close to obstacles.
2. Consider moving the obstacles away or redrawing the path to avoid the obstacles.",1214 Path blocked,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Navigation & Motion Control,Cross-Zone Recharge Issue,Cross-Zone Recharge Failed,"1. Check whether the error code includes a path-blocked error.
2. Move the path obstacles away or redraw the path to avoid the obstacles.",1203 Return-to-dock failed,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Navigation & Motion Control,Auto-Recharge Issue,Recharge Failed,"1. Check whether the charging station is placed on a level surface.
2. Place the mower about 1m in front of the dock and manually trigger return-to-dock to check whether it works abnormally.
3. Clear obstacles in the charging station area, ensuring no obstacles within a 2x2m range.
4. Use an Android phone to check the charging station's IR signal. If there is no signal, send a replacement charging station.",1200 Return-to-dock failed,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Navigation & Motion Control,Auto-Recharge Issue,Recharge Failed,1. Check whether there are any wheel hub motor / cutter motor errors in the app.,,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Navigation & Motion Control,Entered No-Go Zone,"Entered No-Go Zone During Mowing, No Positioning Signal Issue",/,,,,Needs FAE Upgrade,,
Navigation & Motion Control,Crossed Virtual Wall,Device Crossed Virtual Wall Set on Map,/,,,,Needs FAE Upgrade,,
Navigation & Motion Control,Task Interrupted,Lawn Damaged During Mowing,"1. Check whether there are any motor-related errors in the app.
2. Restart the mower and check whether operation is normal.
3. Check whether the lawn is too wet. If so, consider not mowing the slippery area for the time being.",,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Navigation & Motion Control,Task Interrupted,Spinning / Grinding Lawn,1. Check whether there are any motor-related errors in the app.,,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Navigation & Motion Control,Task Interrupted,Slipped During Work / Out of Boundary / Entered No-Go Zone and Stopped,"1. Check whether there is terrain on the boundary or in the no-go zone that is slippery or has a steep slope.
2. Adjust the map or the no-go zone boundary accordingly.",,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Navigation & Motion Control,Robot Stuck,Robot Got Stuck During Work,"1. Check whether there is terrain on the boundary or in the no-go zone that is slippery or has a steep slope.
2. Check whether the issue is improved after enabling the obstacle-avoidance mode.",1201 Stuck,"1. Check Basic Info to confirm the current positioning mode of the robot.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Navigation & Motion Control,Missed Mowing,Grass Not Mowed / Missed Mowing / Grass Left in Middle,1. Change the settings to cover missed grass strips. Set checkerboard mowing and set the cross pattern to a diamond. Adjust the path spacing to 20-15cm.,,,,Needs Repair,,
Navigation & Motion Control,Missed Mowing,No-Go Zone Edge Missed,1. Confirm whether the no-go zone boundary-patrol function is enabled.,,,,Needs FAE Upgrade,,
Navigation & Motion Control,Missed Mowing,Mowing Zone Edge Missed,"1. Check whether there are stuck-detection or other errors. Prioritize troubleshooting as a stuck issue.
2. Confirm whether the mowing zone boundary-patrol function is enabled.",,,,Needs FAE Upgrade,,
Navigation & Motion Control,Mowing Path Not Straight,Mowing Path Not Straight on Flat Lawn,/,,,,Needs FAE Upgrade,,
Navigation & Motion Control,Device Dropped,Device Fell into Pond / Water Area,1. Verify the environment and location of the falling-into-water incident.,,,,Needs FAE Upgrade,,
Navigation & Motion Control,Device Dropped,Device Fell Off Cliff,"1. Check whether the current firmware is the latest version. An upgrade is required if not.
2. Set a virtual wall at the cliff location, and move the boundary inward. Test whether the issue is resolved.",,,,Needs FAE Upgrade,,
Battery & Charging,Auto-Recharge Issue,"Vehicle Bumps Station and Exits After Returning, No Charge / Docking Abnormal","1. Check that the charging station is installed on the ground and that the device's contacts are fully in contact with the charging station's contacts.
2. Check whether the charging contact strips on the rear of the mower and the charging station's probes are dirty or corroded; clean them if necessary.
3. Check whether the connection port between the charging station's power cable and the adapter is loose; re-plug it if necessary.
4. Test the voltage of the charging station contacts and the adapter. If abnormal, send a replacement adapter.","1200 Repeatedly entering/leaving dock / bumping dock
2729 Adapter voltage low","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Auto-Recharge Issue,Spins Before Station Trying to Dock / Cannot Return to Station,"1. Clean the IR lenses on both the mower and the charging station.
2. Use an Android phone to check whether there are 4 IR emitters on the charging station. If the number is abnormal, send a replacement charging station.","1200 IR module fault (charging station)
1000011 Return-to-dock failed","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Auto-Recharge Issue,"Powers Off Suddenly During Recharge, Shows 0% After Connecting Station",/,,"1. Check the Device Profile and Self-check modules to confirm that the robot's hardware connections are normal.
2. Based on the corresponding error codes, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Auto-Recharge Issue,"Reaches Low Battery Without Recharging, Stops on Lawn",/,,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Battery & Charging,Auto-Recharge Issue,Powers Off During Return to Station,"1. Check whether the 2829 low-temperature error is also reported. If so, move the charging station indoors to warm up, and try charging again after the temperature rises.
2. Try replacing the battery to see whether the issue is resolved.","360 Left wheel hub voltage low
392 Right wheel hub voltage low","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Battery & Charging,Battery Issue,Cannot Charge,"1. For a new device, activate the device first, then dock/undock it on the charging station a few times, confirm that the battery can be charged to 30%, and check that the firmware has been upgraded.
2. If it is not a new device, first clean the charging contact strips on both the mower and the charging station, and check the indicator status of the charging station and the adapter.
3. Check that the charging station is installed on the ground and that the device's contacts are fully in contact with the charging station's contacts.
4. Test the voltage of the charging station contacts and the adapter. If abnormal, send a replacement adapter.
5. After the inspection, try placing the mower on the charging station again to see whether it powers on normally.",2729 Adapter voltage low,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Battery Issue,Powers Off Immediately After Exiting Station,"1. Battery over-discharge / unable to charge, which may be caused by a drive board fault.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Battery Issue,Battery Cannot Be Fully Charged,"1. Confirm that the firmware is the latest version, and check that the charging contact strips are clean and fully in contact.
2. Confirm that the adapter voltage is approximately the normal 25V.
3. If the measured value is abnormal, replace the adapter with a new one.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Battery Issue,Battery Drains Fast / Single Charge Work Time Shortened / Mowing Efficiency Low,"1. Check whether the cutter disk is clogged with grass.
2. Check whether the grass is currently thick / the mowing height is set too low.
3. Try setting the mowing height in stages from high / medium / low.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Battery Issue,Battery Temperature Too High,"1. Check whether the ambient temperature is too high. If it is above 35°C, it is recommended to wait for the temperature to drop before mowing.
2. Check whether the subsequent error disappears.","2171 Battery temperature too high
2719 Battery temperature too high","1. Check the Device Profile and Self-check modules to confirm that the robot's hardware connections are normal.
2. Based on the corresponding error codes, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Battery Issue,Battery Temperature Too Low,1. Check whether the ambient temperature is below -10°C. Try to avoid operating the mower in excessively low temperatures.,"2718 Battery temperature too low
2829 Low-temperature protection, not charging","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Battery Issue,Battery Gauge Abnormal,1. The battery cannot be fully charged. This is caused by an error in the battery SOC table.,,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Battery & Charging,Battery Issue,Battery Shows 0%,"1. Restart the device and check whether the firmware has been upgraded to the latest version.
2. Reconnect the battery (YUKA series, mini series) and swap the two batteries to perform a cross-test, troubleshooting each battery individually.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Battery Issue,"New Device Shows 0% Battery at Startup, Can Dock but Cannot Charge","1. New devices are pre-charged at the factory. Confirm that the device can power on normally.
2. Manually secure the charging station and confirm whether it can charge normally.
3. Check whether the charging surface is level and the charging contact strips are normal.
4. Confirm that the battery can be charged above 30%.
5. The firmware needs to be upgraded to the latest version.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Battery Issue,Sudden / Abnormal Shutdown,"1. Check whether the device was in a stationary state for some time before powering off, which may have caused it to enter low-power mode.
2. Check for any related errors before the device stopped, and troubleshoot according to the corresponding errors.
3. Check whether the FPV function works normally (LUBA 1 does not have the FPV function).",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Battery & Charging,Docking Issue,Repeatedly Shows 'Start Charging' During Charging,"1. Check that the charging station is installed on a level surface and that the device's contacts are fully in contact with the charging station's contacts.
2. Check whether the charging contact strips on the rear of the mower and the charging station's probes are dirty or corroded; clean them if necessary.
3. Check whether the connection port between the charging station's power cable and the adapter is loose; re-plug it if necessary.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Battery & Charging,Docking Issue,Not Charging at Station,"1. Disconnect the adapter from the charging station and further confirm the status of the adapter indicator. If there is a problem, the charging station adapter may need to be replaced.
2. If the adapter status is normal, check the charging station indicator. If there is a problem, the charging station may need to be replaced.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
